Thick_MnF2_0p6mm_pel
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
12.24	2152.0	2196.6
12.25	2162.0	2198.3
12.26	2211.0	2200.0
12.27	2242.0	2201.6
12.28	2214.0	2203.3
12.29	2171.0	2204.9
12.3	2256.0	2206.6
12.31	2267.0	2208.2
12.32	2268.0	2209.9
12.33	2202.0	2211.5
12.34	2189.0	2213.2
12.35	2196.0	2214.8
12.36	2198.0	2216.5
12.37	2192.0	2218.1
12.38	2198.0	2219.8
12.39	2232.0	2221.4
12.4	2246.0	2223.1
12.41	2264.0	2224.7
12.42	2293.0	2226.4
12.43	2257.0	2228.0
12.44	2208.0	2229.7
12.45	2191.0	2231.3
12.46	2161.0	2232.9
12.47	2196.0	2234.6
12.48	2239.0	2236.2
12.49	2237.0	2237.9
12.5	2236.0	2239.5
12.51	2287.0	2241.2
12.52	2267.0	2242.8
12.53	2210.0	2244.5
12.54	2242.0	2246.1
12.55	2285.0	2247.7
12.56	2277.0	2249.4
12.57	2262.0	2251.0
12.58	2209.0	2252.7
12.59	2230.0	2254.3
12.6	2263.0	2255.9
12.61	2242.0	2257.6
12.62	2235.0	2259.2
12.63	2253.0	2260.9
12.64	2251.0	2262.5
12.65	2280.0	2264.1
12.66	2320.0	2265.8
12.67	2296.0	2267.4
12.68	2259.0	2269.0
12.69	2227.0	2270.7
12.7	2231.0	2272.3
12.71	2286.0	2273.9
12.72	2309.0	2275.6
12.73	2335.0	2277.2
12.74	2311.0	2278.8
12.75	2214.0	2280.5
12.76	2201.0	2282.1
12.77	2253.0	2283.7
12.78	2295.0	2285.3
12.79	2292.0	2287.0
12.8	2298.0	2288.6
12.81	2299.0	2290.2
12.82	2234.0	2291.8
12.83	2241.0	2293.5
12.84	2263.0	2295.1
12.85	2309.0	2296.7
12.86	2311.0	2298.3
12.87	2351.0	2299.9
12.88	2339.0	2301.6
12.89	2288.0	2303.2
12.9	2290.0	2304.8
12.91	2278.0	2306.4
12.92	2289.0	2308.0
12.93	2332.0	2309.7
12.94	2338.0	2311.3
12.95	2319.0	2312.9
12.96	2343.0	2314.5
12.97	2304.0	2316.1
12.98	2302.0	2317.7
12.99	2307.0	2319.3
13.0	2281.0	2320.9
13.01	2329.0	2322.5
13.02	2339.0	2324.2
13.03	2295.0	2325.8
13.04	2252.0	2327.4
13.05	2371.0	2329.0
13.06	2369.0	2330.6
13.07	2312.0	2332.2
13.08	2327.0	2333.8
13.09	2334.0	2335.4
13.1	2351.0	2337.0
13.11	2294.0	2338.6
13.12	2351.0	2340.2
13.13	2405.0	2341.8
13.14	2365.0	2343.4
13.15	2334.0	2345.0
13.16	2336.0	2346.6
13.17	2316.0	2348.1
13.18	2376.0	2349.7
13.19	2468.0	2351.3
13.2	2410.0	2352.9
13.21	2362.0	2354.5
13.22	2383.0	2356.1
13.23	2432.0	2357.7
13.24	2362.0	2359.3
13.25	2381.0	2360.8
13.26	2354.0	2362.4
13.27	2339.0	2364.0
13.28	2312.0	2365.6
13.29	2350.0	2367.2
13.3	2360.0	2368.7
13.31	2357.0	2370.3
13.32	2359.0	2371.9
13.33	2379.0	2373.5
13.34	2340.0	2375.0
13.35	2413.0	2376.6
13.36	2431.0	2378.2
13.37	2403.0	2379.8
13.38	2367.0	2381.3
13.39	2354.0	2382.9
13.4	2412.0	2384.5
13.41	2448.0	2386.0
13.42	2436.0	2387.6
13.43	2425.0	2389.2
13.44	2434.0	2390.7
13.45	2406.0	2392.3
13.46	2398.0	2393.9
13.47	2428.0	2395.4
13.48	2429.0	2397.0
13.49	2456.0	2398.5
13.5	2457.0	2400.1
13.51	2413.0	2401.6
13.52	2456.0	2403.2
13.53	2392.0	2404.7
13.54	2404.0	2406.3
13.55	2423.0	2407.8
13.56	2419.0	2409.4
13.57	2457.0	2410.9
13.58	2472.0	2412.5
13.59	2413.0	2414.0
13.6	2387.0	2415.6
13.61	2413.0	2417.1
13.62	2470.0	2418.7
13.63	2524.0	2420.2
13.64	2510.0	2421.7
13.65	2520.0	2423.3
13.66	2519.0	2424.8
13.67	2488.0	2426.4
13.68	2509.0	2427.9
13.69	2540.0	2429.4
13.7	2466.0	2431.0
13.71	2424.0	2432.5
13.72	2443.0	2434.0
13.73	2446.0	2435.6
13.74	2458.0	2437.1
13.75	2460.0	2438.6
13.76	2482.0	2440.1
13.77	2449.0	2441.7
13.78	2438.0	2443.2
13.79	2453.0	2444.7
13.8	2490.0	2446.2
13.81	2487.0	2447.7
13.82	2498.0	2449.3
13.83	2493.0	2450.8
13.84	2487.0	2452.3
13.85	2494.0	2453.8
13.86	2489.0	2455.3
13.87	2436.0	2456.8
13.88	2459.0	2458.3
13.89	2504.0	2459.9
13.9	2466.0	2461.4
13.91	2486.0	2462.9
13.92	2516.0	2464.4
13.93	2483.0	2465.9
13.94	2507.0	2467.4
13.95	2486.0	2468.9
13.96	2509.0	2470.4
13.97	2533.0	2471.9
13.98	2526.0	2473.4
13.99	2501.0	2474.9
14.0	2495.0	2476.4
14.01	2554.0	2477.9
14.02	2546.0	2479.4
14.03	2521.0	2480.9
14.04	2522.0	2482.4
14.05	2521.0	2483.8
14.06	2479.0	2485.3
14.07	2496.0	2486.8
14.08	2510.0	2488.3
14.09	2561.0	2489.8
14.1	2599.0	2491.3
14.11	2557.0	2492.7
14.12	2533.0	2494.2
14.13	2527.0	2495.7
14.14	2562.0	2497.2
14.15	2543.0	2498.7
14.16	2496.0	2500.1
14.17	2534.0	2501.6
14.18	2581.0	2503.1
14.19	2560.0	2504.6
14.2	2514.0	2506.0
14.21	2580.0	2507.5
14.22	2611.0	2509.0
14.23	2599.0	2510.4
14.24	2582.0	2511.9
14.25	2597.0	2513.4
14.26	2592.0	2514.8
14.27	2582.0	2516.3
14.28	2601.0	2517.7
14.29	2588.0	2519.2
14.3	2588.0	2520.7
14.31	2617.0	2522.1
14.32	2615.0	2523.6
14.33	2592.0	2525.0
14.34	2560.0	2526.5
14.35	2547.0	2527.9
14.36	2560.0	2529.4
14.37	2505.0	2530.8
14.38	2575.0	2532.3
14.39	2581.0	2533.7
14.4	2610.0	2535.1
14.41	2623.0	2536.6
14.42	2638.0	2538.0
14.43	2627.0	2539.5
14.44	2585.0	2540.9
14.45	2597.0	2542.3
14.46	2622.0	2543.8
14.47	2576.0	2545.2
14.48	2558.0	2546.6
14.49	2585.0	2548.1
14.5	2577.0	2549.5
14.51	2596.0	2550.9
14.52	2643.0	2552.3
14.53	2673.0	2553.8
14.54	2699.0	2555.2
14.55	2666.0	2556.6
14.56	2628.0	2558.0
14.57	2686.0	2559.5
14.58	2648.0	2560.9
14.59	2608.0	2562.3
14.6	2600.0	2563.7
14.61	2605.0	2565.1
14.62	2677.0	2566.5
14.63	2651.0	2567.9
14.64	2606.0	2569.3
14.65	2602.0	2570.8
14.66	2638.0	2572.2
14.67	2672.0	2573.6
14.68	2661.0	2575.0
14.69	2626.0	2576.4
14.7	2571.0	2577.8
14.71	2562.0	2579.2
14.72	2562.0	2580.6
14.73	2593.0	2582.0
14.74	2648.0	2583.4
14.75	2658.0	2584.7
14.76	2609.0	2586.1
14.77	2576.0	2587.5
14.78	2572.0	2588.9
14.79	2628.0	2590.3
14.8	2610.0	2591.7
14.81	2609.0	2593.1
14.82	2618.0	2594.5
14.83	2617.0	2595.8
14.84	2584.0	2597.2
14.85	2561.0	2598.6
14.86	2610.0	2600.0
14.87	2617.0	2601.3
14.88	2622.0	2602.7
14.89	2633.0	2604.1
14.9	2656.0	2605.5
14.91	2639.0	2606.8
14.92	2608.0	2608.2
14.93	2620.0	2609.6
14.94	2687.0	2610.9
14.95	2673.0	2612.3
14.96	2629.0	2613.6
14.97	2637.0	2615.0
14.98	2636.0	2616.4
14.99	2628.0	2617.7
15.0	2659.0	2619.1
15.01	2650.0	2620.4
15.02	2601.0	2621.8
