Thick_TiO2_0p6mm_pel
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
12.24	2529.0	2452.0
12.25	2533.0	2452.8
12.26	2529.0	2453.6
12.27	2524.0	2454.4
12.28	2534.0	2455.2
12.29	2517.0	2456.0
12.3	2529.0	2456.8
12.31	2521.0	2457.6
12.32	2501.0	2458.4
12.33	2528.0	2459.2
12.34	2518.0	2460.1
12.35	2509.0	2460.9
12.36	2513.0	2461.7
12.37	2480.0	2462.5
12.38	2524.0	2463.4
12.39	2538.0	2464.2
12.4	2477.0	2465.1
12.41	2465.0	2465.9
12.42	2532.0	2466.8
12.43	2491.0	2467.6
12.44	2475.0	2468.5
12.45	2438.0	2469.3
12.46	2461.0	2470.2
12.47	2503.0	2471.0
12.48	2509.0	2471.9
12.49	2462.0	2472.8
12.5	2516.0	2473.7
12.51	2527.0	2474.5
12.52	2512.0	2475.4
12.53	2572.0	2476.3
12.54	2565.0	2477.2
12.55	2551.0	2478.1
12.56	2524.0	2479.0
12.57	2536.0	2479.9
12.58	2587.0	2480.8
12.59	2533.0	2481.7
12.6	2483.0	2482.6
12.61	2437.0	2483.5
12.62	2473.0	2484.4
12.63	2552.0	2485.4
12.64	2540.0	2486.3
12.65	2539.0	2487.2
12.66	2561.0	2488.1
12.67	2583.0	2489.1
12.68	2527.0	2490.0
12.69	2490.0	2491.0
12.7	2530.0	2491.9
12.71	2548.0	2492.9
12.72	2523.0	2493.8
12.73	2499.0	2494.8
12.74	2529.0	2495.7
12.75	2520.0	2496.7
12.76	2490.0	2497.6
12.77	2470.0	2498.6
12.78	2515.0	2499.6
12.79	2529.0	2500.6
12.8	2483.0	2501.5
12.81	2508.0	2502.5
12.82	2514.0	2503.5
12.83	2545.0	2504.5
12.84	2476.0	2505.5
12.85	2528.0	2506.5
12.86	2579.0	2507.5
12.87	2558.0	2508.5
12.88	2565.0	2509.5
12.89	2574.0	2510.5
12.9	2580.0	2511.5
12.91	2565.0	2512.6
12.92	2585.0	2513.6
12.93	2607.0	2514.6
12.94	2565.0	2515.6
12.95	2535.0	2516.7
12.96	2514.0	2517.7
12.97	2549.0	2518.7
12.98	2548.0	2519.8
12.99	2516.0	2520.8
13.0	2559.0	2521.9
13.01	2553.0	2522.9
13.02	2502.0	2524.0
13.03	2484.0	2525.1
13.04	2520.0	2526.1
13.05	2609.0	2527.2
13.06	2595.0	2528.3
13.07	2583.0	2529.3
13.08	2537.0	2530.4
13.09	2536.0	2531.5
13.1	2595.0	2532.6
13.11	2569.0	2533.7
13.12	2571.0	2534.8
13.13	2558.0	2535.9
13.14	2544.0	2537.0
13.15	2541.0	2538.1
13.16	2612.0	2539.2
13.17	2631.0	2540.3
13.18	2561.0	2541.4
13.19	2537.0	2542.5
13.2	2534.0	2543.6
13.21	2562.0	2544.8
13.22	2573.0	2545.9
13.23	2575.0	2547.0
13.24	2560.0	2548.2
13.25	2573.0	2549.3
13.26	2588.0	2550.4
13.27	2634.0	2551.6
13.28	2581.0	2552.7
13.29	2541.0	2553.9
13.3	2575.0	2555.1
13.31	2576.0	2556.2
13.32	2584.0	2557.4
13.33	2527.0	2558.5
13.34	2539.0	2559.7
13.35	2602.0	2560.9
13.36	2622.0	2562.1
13.37	2588.0	2563.3
13.38	2540.0	2564.4
13.39	2538.0	2565.6
13.4	2592.0	2566.8
13.41	2632.0	2568.0
13.42	2604.0	2569.2
13.43	2627.0	2570.4
13.44	2670.0	2571.6
13.45	2652.0	2572.9
13.46	2590.0	2574.1
13.47	2602.0	2575.3
13.48	2598.0	2576.5
13.49	2528.0	2577.7
13.5	2552.0	2579.0
13.51	2564.0	2580.2
13.52	2585.0	2581.4
13.53	2579.0	2582.7
13.54	2627.0	2583.9
13.55	2620.0	2585.1
13.56	2613.0	2586.4
13.57	2658.0	2587.6
13.58	2663.0	2588.9
13.59	2650.0	2590.1
13.6	2610.0	2591.4
13.61	2624.0	2592.7
13.62	2663.0	2593.9
13.63	2636.0	2595.2
13.64	2619.0	2596.5
13.65	2648.0	2597.7
13.66	2639.0	2599.0
13.67	2627.0	2600.3
13.68	2645.0	2601.6
13.69	2669.0	2602.8
13.7	2609.0	2604.1
13.71	2625.0	2605.4
13.72	2621.0	2606.7
13.73	2607.0	2608.0
13.74	2604.0	2609.3
13.75	2619.0	2610.6
13.76	2652.0	2611.9
13.77	2670.0	2613.2
13.78	2671.0	2614.5
13.79	2658.0	2615.8
13.8	2672.0	2617.1
13.81	2674.0	2618.4
13.82	2675.0	2619.8
13.83	2667.0	2621.1
13.84	2649.0	2622.4
13.85	2689.0	2623.7
13.86	2726.0	2625.0
13.87	2668.0	2626.4
13.88	2653.0	2627.7
13.89	2692.0	2629.0
13.9	2688.0	2630.4
13.91	2632.0	2631.7
13.92	2692.0	2633.0
13.93	2714.0	2634.4
13.94	2684.0	2635.7
13.95	2705.0	2637.1
13.96	2740.0	2638.4
13.97	2723.0	2639.7
13.98	2653.0	2641.1
13.99	2650.0	2642.4
14.0	2680.0	2643.8
14.01	2698.0	2645.2
14.02	2700.0	2646.5
14.03	2702.0	2647.9
14.04	2708.0	2649.2
14.05	2742.0	2650.6
14.06	2740.0	2651.9
14.07	2698.0	2653.3
14.08	2701.0	2654.7
14.09	2745.0	2656.0
14.1	2739.0	2657.4
14.11	2752.0	2658.8
14.12	2740.0	2660.2
14.13	2712.0	2661.5
14.14	2738.0	2662.9
14.15	2668.0	2664.3
14.16	2662.0	2665.7
14.17	2708.0	2667.0
14.18	2740.0	2668.4
14.19	2712.0	2669.8
14.2	2757.0	2671.2
14.21	2732.0	2672.6
14.22	2699.0	2674.0
14.23	2746.0	2675.3
14.24	2794.0	2676.7
14.25	2780.0	2678.1
14.26	2732.0	2679.5
14.27	2740.0	2680.9
14.28	2716.0	2682.3
14.29	2738.0	2683.7
14.3	2794.0	2685.1
14.31	2765.0	2686.5
14.32	2742.0	2687.9
14.33	2703.0	2689.3
14.34	2707.0	2690.7
14.35	2734.0	2692.1
14.36	2754.0	2693.5
14.37	2802.0	2694.9
14.38	2754.0	2696.3
14.39	2762.0	2697.7
14.4	2755.0	2699.1
14.41	2720.0	2700.5
14.42	2765.0	2701.9
14.43	2773.0	2703.3
14.44	2764.0	2704.7
14.45	2765.0	2706.1
14.46	2767.0	2707.5
14.47	2770.0	2708.9
14.48	2744.0	2710.3
14.49	2726.0	2711.7
14.5	2740.0	2713.1
14.51	2740.0	2714.5
14.52	2774.0	2715.9
14.53	2762.0	2717.4
14.54	2743.0	2718.8
14.55	2730.0	2720.2
14.56	2729.0	2721.6
14.57	2768.0	2723.0
14.58	2761.0	2724.4
14.59	2738.0	2725.8
14.6	2780.0	2727.2
14.61	2753.0	2728.6
14.62	2769.0	2730.1
14.63	2789.0	2731.5
14.64	2799.0	2732.9
14.65	2786.0	2734.3
14.66	2807.0	2735.7
14.67	2800.0	2737.1
14.68	2765.0	2738.5
14.69	2769.0	2739.9
14.7	2745.0	2741.4
14.71	2723.0	2742.8
14.72	2785.0	2744.2
14.73	2835.0	2745.6
14.74	2839.0	2747.0
14.75	2809.0	2748.4
14.76	2807.0	2749.8
14.77	2774.0	2751.2
14.78	2808.0	2752.6
14.79	2813.0	2754.0
14.8	2792.0	2755.5
14.81	2804.0	2756.9
14.82	2769.0	2758.3
14.83	2791.0	2759.7
14.84	2835.0	2761.1
14.85	2829.0	2762.5
14.86	2824.0	2763.9
14.87	2765.0	2765.3
14.88	2746.0	2766.7
14.89	2778.0	2768.1
14.9	2763.0	2769.5
14.91	2828.0	2770.9
14.92	2876.0	2772.3
14.93	2879.0	2773.7
14.94	2853.0	2775.1
14.95	2851.0	2776.5
14.96	2866.0	2777.9
14.97	2875.0	2779.3
14.98	2833.0	2780.7
14.99	2856.0	2782.1
15.0	2813.0	2783.5
15.01	2763.0	2784.9
15.02	2799.0	2786.3
15.03	2836.0	2787.7
15.04	2847.0	2789.1
15.05	2814.0	2790.5
15.06	2768.0	2791.9
15.07	2797.0	2793.3
15.08	2828.0	2794.6
15.09	2808.0	2796.0
15.1	2803.0	2797.4
15.11	2826.0	2798.8
15.12	2795.0	2800.2
15.13	2782.0	2801.6
15.14	2773.0	2802.9
15.15	2776.0	2804.3
15.16	2807.0	2805.7
15.17	2764.0	2807.1
15.18	2778.0	2808.4
15.19	2760.0	2809.8
15.2	2763.0	2811.2
15.21	2830.0	2812.6
15.22	2863.0	2813.9
15.23	2855.0	2815.3
15.24	2851.0	2816.7
15.25	2841.0	2818.0
15.26	2857.0	2819.4
15.27	2859.0	2820.7
15.28	2868.0	2822.1
15.29	2858.0	2823.5
15.3	2865.0	2824.8
15.31	2866.0	2826.2
15.32	2802.0	2827.5
15.33	2806.0	2828.9
15.34	2845.0	2830.2
15.35	2837.0	2831.6
15.36	2827.0	2832.9
15.37	2802.0	2834.2
15.38	2816.0	2835.6
15.39	2836.0	2836.9
15.4	2819.0	2838.3
15.41	2774.0	2839.6
15.42	2802.0	2840.9
15.43	2874.0	2842.2
15.44	2857.0	2843.6
15.45	2840.0	2844.9
15.46	2827.0	2846.2
15.47	2859.0	2847.5
15.48	2827.0	2848.9
15.49	2860.0	2850.2
15.5	2915.0	2851.5
15.51	2869.0	2852.8
15.52	2815.0	2854.1
15.53	2831.0	2855.4
15.54	2863.0	2856.7
15.55	2866.0	2858.0
15.56	2848.0	2859.3
15.57	2824.0	2860.6
15.58	2810.0	2861.9
15.59	2797.0	2863.2
15.6	2856.0	2864.5
15.61	2915.0	2865.8
15.62	2858.0	2867.1
15.63	2791.0	2868.3
15.64	2786.0	2869.6
15.65	2843.0	2870.9
15.66	2914.0	2872.2
15.67	2912.0	2873.4
15.68	2829.0	2874.7
15.69	2789.0	2876.0
15.7	2821.0	2877.2
15.71	2868.0	2878.5
15.72	2872.0	2879.8
15.73	2850.0	2881.0
15.74	2861.0	2882.3
15.75	2838.0	2883.5
15.76	2804.0	2884.7
15.77	2846.0	2886.0
15.78	2890.0	2887.2
15.79	2895.0	2888.5
15.8	2950.0	2889.7
15.81	2960.0	2890.9
15.82	2881.0	2892.1
15.83	2865.0	2893.4
15.84	2887.0	2894.6
15.85	2909.0	2895.8
15.86	2915.0	2897.0
15.87	2912.0	2898.2
15.88	2913.0	2899.4
15.89	2942.0	2900.6
15.9	2955.0	2901.8
15.91	2935.0	2903.0
15.92	2861.0	2904.2
15.93	2854.0	2905.4
15.94	2902.0	2906.6
15.95	2927.0	2907.8
15.96	2945.0	2908.9
15.97	2931.0	2910.1
15.98	2955.0	2911.3
15.99	2940.0	2912.5
16.0	2866.0	2913.6
16.01	2848.0	2914.8
16.02	2877.0	2915.9
16.03	2942.0	2917.1
16.04	2932.0	2918.2
16.05	2912.0	2919.4
16.06	2905.0	2920.5
16.07	2916.0	2921.7
16.08	2944.0	2922.8
16.09	2914.0	2923.9
16.1	2912.0	2925.0
16.11	2916.0	2926.2
16.12	2976.0	2927.3
16.13	3006.0	2928.4
16.14	3013.0	2929.5
16.15	2981.0	2930.6
16.16	2973.0	2931.7
16.17	3014.0	2932.8
16.18	2988.0	2933.9
16.19	2978.0	2935.0
16.2	2959.0	2936.1
16.21	2966.0	2937.1
16.22	2967.0	2938.2
16.23	2966.0	2939.3
16.24	2956.0	2940.4
16.25	2924.0	2941.4
16.26	2920.0	2942.5
16.27	2935.0	2943.5
16.28	2889.0	2944.6
16.29	2885.0	2945.6
16.3	2924.0	2946.7
16.31	2916.0	2947.7
16.32	2943.0	2948.7
16.33	2959.0	2949.7
16.34	2980.0	2950.8
16.35	2986.0	2951.8
16.36	2997.0	2952.8
16.37	3001.0	2953.8
16.38	3026.0	2954.8
16.39	3033.0	2955.8
16.4	2988.0	2956.8
16.41	2981.0	2957.8
16.42	3023.0	2958.8
16.43	3038.0	2959.8
16.44	2998.0	2960.7
16.45	2959.0	2961.7
16.46	2963.0	2962.7
16.47	2997.0	2963.6
16.48	3015.0	2964.6
16.49	2990.0	2965.5
16.5	2965.0	2966.5
16.51	2962.0	2967.4
16.52	2988.0	2968.4
16.53	3002.0	2969.3
16.54	3011.0	2970.2
16.55	3042.0	2971.1
16.56	3044.0	2972.1
16.57	3031.0	2973.0
16.58	3010.0	2973.9
16.59	3035.0	2974.8
16.6	3070.0	2975.7
16.61	3054.0	2976.6
16.62	3038.0	2977.5
16.63	3082.0	2978.4
16.64	3127.0	2979.3
16.65	3059.0	2980.1
16.66	2973.0	2981.0
16.67	3001.0	2981.9
16.68	3053.0	2982.7
16.69	3039.0	2983.6
16.7	2999.0	2984.5
16.71	3058.0	2985.3
16.72	3077.0	2986.2
16.73	3046.0	2987.0
16.74	3070.0	2987.8
16.75	3068.0	2988.7
16.76	3044.0	2989.5
16.77	3076.0	2990.3
16.78	3108.0	2991.1
16.79	3083.0	2992.0
16.8	3067.0	2992.8
16.81	3051.0	2993.6
16.82	2999.0	2994.4
16.83	3004.0	2995.2
16.84	3037.0	2996.0
16.85	3056.0	2996.8
16.86	3064.0	2997.5
16.87	3057.0	2998.3
16.88	3116.0	2999.1
16.89	3121.0	2999.9
16.9	3113.0	3000.6
16.91	3104.0	3001.4
