BroadPeak_MnF2_SPEX3
Wavelength = 1.54059 Å (Cu)
Angle	I(o)	I(b)
12.24	2041.0	1955.4
12.25	2026.0	1956.5
12.26	1973.0	1957.5
12.27	2000.0	1958.6
12.28	2012.0	1959.6
12.29	2008.0	1960.6
12.3	2003.0	1961.7
12.31	1999.0	1962.7
12.32	1993.0	1963.8
12.33	2009.0	1964.8
12.34	1991.0	1965.9
12.35	1987.0	1966.9
12.36	2009.0	1968.0
12.37	1994.0	1969.0
12.38	2004.0	1970.0
12.39	2016.0	1971.1
12.4	2017.0	1972.1
12.41	1995.0	1973.2
12.42	2043.0	1974.2
12.43	2036.0	1975.2
12.44	2058.0	1976.3
12.45	2058.0	1977.3
12.46	2013.0	1978.3
12.47	2056.0	1979.4
12.48	2036.0	1980.4
12.49	1995.0	1981.4
12.5	2007.0	1982.5
12.51	1971.0	1983.5
12.52	1982.0	1984.5
12.53	2006.0	1985.6
12.54	2013.0	1986.6
12.55	2028.0	1987.6
12.56	2035.0	1988.6
12.57	2045.0	1989.7
12.58	2069.0	1990.7
12.59	2066.0	1991.7
12.6	2010.0	1992.7
12.61	1995.0	1993.7
12.62	2045.0	1994.7
12.63	2063.0	1995.7
12.64	2024.0	1996.8
12.65	1977.0	1997.8
12.66	2047.0	1998.8
12.67	2059.0	1999.8
12.68	2083.0	2000.8
12.69	2057.0	2001.8
12.7	2034.0	2002.8
12.71	2080.0	2003.8
12.72	2060.0	2004.7
12.73	2074.0	2005.7
12.74	2005.0	2006.7
12.75	1956.0	2007.7
12.76	1978.0	2008.7
12.77	2064.0	2009.7
12.78	2033.0	2010.6
12.79	2029.0	2011.6
12.8	2054.0	2012.6
12.81	2037.0	2013.6
12.82	2036.0	2014.5
12.83	2016.0	2015.5
12.84	2063.0	2016.4
12.85	2008.0	2017.4
12.86	1976.0	2018.3
12.87	2021.0	2019.3
12.88	2008.0	2020.2
12.89	2011.0	2021.2
12.9	2064.0	2022.1
12.91	2060.0	2023.1
12.92	2072.0	2024.0
12.93	2074.0	2024.9
12.94	2057.0	2025.9
12.95	2050.0	2026.8
12.96	2067.0	2027.7
12.97	2056.0	2028.6
12.98	2056.0	2029.5
12.99	2096.0	2030.4
13.0	2073.0	2031.3
13.01	2087.0	2032.2
13.02	2122.0	2033.1
13.03	2108.0	2034.0
13.04	2159.0	2034.9
13.05	2104.0	2035.8
13.06	2095.0	2036.7
13.07	2041.0	2037.6
13.08	2056.0	2038.4
13.09	2030.0	2039.3
13.1	2041.0	2040.2
13.11	2066.0	2041.0
13.12	2047.0	2041.9
13.13	2056.0	2042.7
13.14	2054.0	2043.6
13.15	2028.0	2044.4
13.16	2038.0	2045.3
13.17	2083.0	2046.1
13.18	2083.0	2046.9
13.19	2058.0	2047.8
13.2	2075.0	2048.6
13.21	2073.0	2049.4
13.22	2113.0	2050.2
13.23	2111.0	2051.0
13.24	2105.0	2051.8
13.25	2113.0	2052.6
13.26	2099.0	2053.4
13.27	2082.0	2054.2
13.28	2100.0	2055.0
13.29	2088.0	2055.8
13.3	2112.0	2056.5
13.31	2069.0	2057.3
13.32	2117.0	2058.1
13.33	2102.0	2058.8
13.34	2061.0	2059.6
13.35	2082.0	2060.3
13.36	2066.0	2061.1
13.37	2098.0	2061.8
13.38	2112.0	2062.6
13.39	2087.0	2063.3
13.4	2109.0	2064.0
13.41	2068.0	2064.8
13.42	2075.0	2065.5
13.43	2118.0	2066.2
13.44	2109.0	2066.9
13.45	2105.0	2067.6
13.46	2071.0	2068.3
13.47	2090.0	2069.0
13.48	2134.0	2069.7
13.49	2156.0	2070.4
13.5	2118.0	2071.1
13.51	2089.0	2071.8
13.52	2111.0	2072.5
13.53	2072.0	2073.1
13.54	2115.0	2073.8
13.55	2105.0	2074.5
13.56	2115.0	2075.1
13.57	2088.0	2075.8
13.58	2144.0	2076.4
13.59	2159.0	2077.1
13.6	2110.0	2077.7
13.61	2110.0	2078.4
13.62	2113.0	2079.0
13.63	2124.0	2079.6
13.64	2126.0	2080.3
13.65	2134.0	2080.9
13.66	2081.0	2081.5
13.67	2085.0	2082.1
13.68	2091.0	2082.7
13.69	2103.0	2083.3
13.7	2121.0	2083.9
13.71	2154.0	2084.5
13.72	2159.0	2085.1
13.73	2084.0	2085.7
13.74	2119.0	2086.3
13.75	2136.0	2086.9
13.76	2114.0	2087.5
13.77	2107.0	2088.0
13.78	2108.0	2088.6
13.79	2074.0	2089.2
13.8	2101.0	2089.7
13.81	2139.0	2090.3
13.82	2134.0	2090.8
13.83	2127.0	2091.4
13.84	2164.0	2091.9
13.85	2144.0	2092.5
13.86	2085.0	2093.0
13.87	2123.0	2093.5
13.88	2170.0	2094.1
13.89	2145.0	2094.6
13.9	2084.0	2095.1
13.91	2106.0	2095.6
13.92	2123.0	2096.1
13.93	2053.0	2096.6
13.94	2124.0	2097.1
13.95	2165.0	2097.6
13.96	2143.0	2098.1
13.97	2150.0	2098.6
13.98	2153.0	2099.1
13.99	2155.0	2099.6
14.0	2126.0	2100.1
14.01	2112.0	2100.5
14.02	2104.0	2101.0
14.03	2146.0	2101.5
14.04	2139.0	2101.9
14.05	2095.0	2102.4
14.06	2112.0	2102.9
14.07	2140.0	2103.3
14.08	2186.0	2103.8
14.09	2205.0	2104.2
14.1	2155.0	2104.6
14.11	2154.0	2105.1
14.12	2206.0	2105.5
14.13	2238.0	2105.9
14.14	2198.0	2106.3
14.15	2184.0	2106.8
14.16	2177.0	2107.2
14.17	2189.0	2107.6
14.18	2222.0	2108.0
14.19	2206.0	2108.4
14.2	2174.0	2108.8
14.21	2153.0	2109.2
14.22	2132.0	2109.6
14.23	2153.0	2110.0
14.24	2165.0	2110.4
14.25	2154.0	2110.7
14.26	2145.0	2111.1
14.27	2162.0	2111.5
14.28	2201.0	2111.9
14.29	2173.0	2112.2
14.3	2162.0	2112.6
14.31	2136.0	2112.9
14.32	2105.0	2113.3
14.33	2119.0	2113.7
14.34	2151.0	2114.0
14.35	2207.0	2114.3
14.36	2203.0	2114.7
14.37	2161.0	2115.0
14.38	2181.0	2115.3
14.39	2182.0	2115.7
14.4	2192.0	2116.0
14.41	2220.0	2116.3
14.42	2208.0	2116.6
14.43	2181.0	2116.9
14.44	2173.0	2117.3
14.45	2189.0	2117.6
14.46	2192.0	2117.9
14.47	2165.0	2118.2
14.48	2138.0	2118.5
14.49	2161.0	2118.7
14.5	2155.0	2119.0
14.51	2149.0	2119.3
14.52	2161.0	2119.6
14.53	2154.0	2119.9
14.54	2243.0	2120.1
14.55	2215.0	2120.4
14.56	2179.0	2120.7
14.57	2148.0	2120.9
14.58	2128.0	2121.2
14.59	2129.0	2121.4
14.6	2062.0	2121.7
14.61	2040.0	2121.9
14.62	2127.0	2122.2
14.63	2184.0	2122.4
14.64	2127.0	2122.7
14.65	2147.0	2122.9
14.66	2177.0	2123.1
14.67	2162.0	2123.3
14.68	2154.0	2123.6
14.69	2157.0	2123.8
14.7	2168.0	2124.0
14.71	2145.0	2124.2
14.72	2168.0	2124.4
14.73	2175.0	2124.6
14.74	2154.0	2124.8
14.75	2147.0	2125.0
14.76	2146.0	2125.2
14.77	2161.0	2125.4
14.78	2128.0	2125.6
14.79	2134.0	2125.8
14.8	2099.0	2126.0
14.81	2147.0	2126.1
14.82	2160.0	2126.3
14.83	2162.0	2126.5
14.84	2162.0	2126.6
14.85	2125.0	2126.8
14.86	2126.0	2127.0
14.87	2136.0	2127.1
14.88	2136.0	2127.3
14.89	2152.0	2127.4
14.9	2125.0	2127.6
14.91	2098.0	2127.7
14.92	2076.0	2127.8
14.93	2120.0	2128.0
14.94	2132.0	2128.1
14.95	2138.0	2128.2
14.96	2142.0	2128.4
14.97	2136.0	2128.5
14.98	2158.0	2128.6
14.99	2164.0	2128.7
15.0	2142.0	2128.8
15.01	2165.0	2128.9
15.02	2137.0	2129.0
15.03	2105.0	2129.1
15.04	2105.0	2129.2
